"Institution","Course Number","Short Title1","Curricular Area2","Course Launch Date","Year (1-4)","Offers Honor Certificates","Participants","Explorers","Certified","% Explored","% Certified","% Certified of Explored","Total Hours (Thousands)","Median Hours of Certified","Median % Residential Hours","% Female","% Bachelor's+","Median Age3","% Played Video","% Posted in Forum","% Grade > 0"
"HarvardX","HLS2x","Contracts-2","GHSS","1/7/2016","4","1","13,798","3,365","2,231","24.39","16.17","66.30","97.71","28.01","16.67","39.84","75.91","29","59.13","24.03","38.35"
"HarvardX","VJx","VisJapan-3","HHRDE","11/10/2015","4","1","4,842","770","249","15.90","5.14","32.34","18.37","25.89","15.41","41.13","65.96","26","68.26","7.43","5.14"
"HarvardX","HAA1x","HAlumniX","HHRDE","3/22/2014","2","0","7,156","781","0","10.95","0.00","0.00","7.23","0.00","","43.21","98.11","53","69.79","3.07","0.00"
"HarvardX","HKS101A","AmGov","GHSS","9/8/2015","3","1","16,005","1,627","623","10.17","3.89","36.94","63.24","29.99","17.85","41.62","61.59","27","54.95","13.95","18.98"
"HarvardX","VJx","VisJapan-2","HHRDE","9/15/2015","4","1","2,175","588","330","27.03","15.17","56.12","11.83","22.34","13.30","43.63","73.26","30","72.41","20.51","41.24"
"HarvardX","AI12.2x","Poetry-b1","HHRDE","1/15/2014","2","1","8,685","1,838","388","21.20","4.47","21.11","19.60","13.21","47.19","54.46","72.49","32","68.60","19.66","14.22"
"HarvardX","EMC2x","EinsteinX-1","HHRDE","2/11/2015","3","1","11,705","1,186","195","10.14","1.67","16.44","40.50","42.22","25.13","27.09","66.55","29","73.04","7.43","14.72"
"HarvardX","HUM2.5x","Heroes-e3","HHRDE","11/12/2014","3","1","2,201","694","367","31.55","16.68","52.74","2.41","1.52","4.52","46.57","71.90","34","43.41","3.41","24.00"
"HarvardX","MCB63x","BioChem","STEM","6/16/2015","4","1","31,710","13,275","789","41.87","2.49","5.94","90.12","35.11","20.90","45.95","59.00","24","55.96","4.37","9.91"
"HarvardX","SPU27x","SciCook-1","STEM","10/8/2013","2","1","60,555","7,195","1,846","11.89","3.05","25.64","399.77","70.66","42.06","50.53","76.55","33","75.48","10.78","17.32"
"HarvardX","SPU27x","SciCook-2","STEM","6/17/2015","4","1","48,922","3,793","504","7.75","1.03","13.26","67.71","12.28","7.31","52.19","69.11","30","63.28","7.30","13.33"
"HarvardX","SPU30x","AstroPhys-1","STEM","2/10/2015","3","1","7,008","3,248","961","46.37","13.72","29.59","21.03","10.97","13.06","31.39","60.75","28.5","49.74","11.99","38.66"
"HarvardX","USW30x","Tangible-2","HHRDE","8/5/2015","3","1","4,794","897","353","18.71","7.36","39.35","10.93","11.04","13.15","65.69","75.32","32","66.58","23.80","24.70"
"HarvardX","USW30x","Tangible-1","HHRDE","6/2/2014","2","1","10,737","2,550","1,090","23.78","10.17","42.75","22.82","7.34","8.74","62.62","74.88","34","74.69","27.55","34.06"
"HarvardX","VJx","VisJapan-1","HHRDE","9/3/2014","3","1","8,493","2,137","1,183","25.18","13.94","55.36","20.45","8.54","5.08","44.27","74.67","31","50.77","14.16","38.20"
"HarvardX","HDS1544.1x","ChristPaul","HHRDE","1/5/2014","2","1","33,784","4,903","1,549","14.52","4.59","31.59","101.83","19.41","11.55","40.65","74.15","38","70.79","16.74","15.68"
"HarvardX","AT1x","Anatomy","STEM","9/30/2014","3","1","26,086","4,637","1,583","17.78","6.07","34.14","88.43","15.30","9.10","49.05","62.09","27","74.36","2.73","34.46"
"HarvardX","GSE1.1x","ImmunChange-2","HHRDE","9/16/2014","3","1","13,305","1,798","699","13.53","5.26","38.88","51.77","20.99","24.99","56.79","80.95","37","65.64","22.34","38.16"
"HarvardX","GSE1x","ImmunChange-1","HHRDE","3/11/2014","2","1","39,319","4,063","1,851","10.34","4.71","45.56","159.84","25.29","30.11","53.63","80.08","36","66.34","23.15","42.36"
"HarvardX","GSE2x","LeadLearn-1","HHRDE","7/8/2014","2","1","36,805","7,752","3,942","21.07","10.71","50.85","103.05","12.71","15.13","45.70","77.57","31","73.66","20.46","30.58"
"HarvardX","GSE3x","DataWise-1","HHRDE","5/12/2015","4","1","8,286","1,784","807","21.54","9.74","45.24","20.03","9.66","11.50","53.61","87.58","35","62.44","0.10","21.02"
"HarvardX","PH278x","HealthEnv","GHSS","5/15/2013","1","1","23,179","3,727","2,743","16.10","11.85","70.83","110.67","21.69","12.91","48.85","75.19","30","85.35","14.48","29.01"
"HarvardX","PH525x","Genomics-1","GHSS","4/7/2014","2","1","13,708","3,620","651","26.43","4.75","17.98","58.19","25.79","15.35","32.34","89.69","31","70.94","3.77","34.62"
"HarvardX","SW25x","BiosocHealth-1","GHSS","2/25/2014","2","1","8,256","2,293","1,266","27.80","15.35","55.21","39.34","18.49","11.00","58.90","80.59","30","62.97","21.56","39.12"
"HarvardX","HUM1.1x","TheBook-a","HHRDE","9/21/2015","4","1","4,033","1,516","460","37.59","11.41","27.18","11.11","5.88","20.98","60.89","75.55","36","73.47","4.76","11.41"
"HarvardX","HUM1.2x","TheBook-b","HHRDE","9/21/2015","4","1","2,085","859","390","41.20","18.71","44.82","4.95","4.93","17.59","57.74","73.88","36","66.19","4.80","18.71"
"HarvardX","HUM1.3x","TheBook-c","HHRDE","9/21/2015","4","1","1,732","788","361","45.50","20.84","44.80","4.39","4.79","17.12","57.76","79.85","35.5","69.34","3.98","20.84"
"HarvardX","HUM1.4x","TheBook-d","HHRDE","9/21/2015","4","1","2,587","1,448","502","55.97","19.40","34.60","5.71","4.28","15.28","61.96","73.64","32","67.53","1.43","19.40"
"HarvardX","HUM1.5x","TheBook-e","HHRDE","9/21/2015","4","1","2,862","1,328","443","46.40","15.48","33.21","3.35","2.09","7.47","66.62","72.64","35","69.01","7.65","15.48"
"HarvardX","HUM1.6x","TheBook-f","HHRDE","9/21/2015","4","1","1,602","662","243","41.32","15.17","35.20","6.13","9.13","32.61","58.34","72.64","36","70.85","4.99","15.17"
"HarvardX","HUM1.7x","TheBook-g","HHRDE","9/21/2015","4","1","670","364","191","54.33","28.51","51.37","3.49","8.25","29.46","55.24","77.52","39","64.93","7.01","28.51"
"HarvardX","HUM1.8x","TheBook-h","HHRDE","9/21/2015","4","1","1,472","325","189","22.08","12.84","44.31","6.93","12.48","44.57","62.09","76.11","38","66.92","6.79","12.84"
"HarvardX","HUM1.9x","TheBook-i","HHRDE","9/21/2015","4","1","1,698","661","330","38.93","19.43","49.32","4.51","5.54","19.78","53.80","70.79","33","65.37","4.89","19.43"
"HarvardX","HLS2x","Contracts-1","GHSS","1/8/2015","3","1","15,433","3,803","2,245","24.65","14.55","59.03","68.16","16.15","9.62","33.73","77.30","30","72.64","0.01","34.11"
"HarvardX","HLS3x","Jury","GHSS","3/10/2015","3","1","4,091","977","379","23.92","9.28","38.69","5.88","3.55","2.11","44.28","62.24","27","65.36","14.27","15.40"
"HarvardX","CS50x","CS50x-4","CS","1/1/2016","4","1","168,335","10,245","417","6.09","0.25","2.93","708.69","0.00","","22.56","49.51","23","69.02","0.00","0.00"
"HarvardX","CS50x","CS50x-1","CS","10/15/2012","1","1","129,400","12,888","1,439","9.96","1.11","11.11","220.90","0.00","","19.98","58.78","28","0.00","0.00","1.11"
"HarvardX","CS50x","CS50x-2","CS","1/1/2014","3","1","259,577","22,894","1,208","8.82","0.47","5.24","853.36","0.00","","22.11","54.82","27","72.41","0.00","0.00"
"HarvardX","CS50x","CS50x-3","CS","1/1/2015","3","1","301,082","25,637","1,523","8.51","0.51","5.45","275.96","0.00","","22.32","51.95","25","67.80","0.00","0.00"
"HarvardX","BUS5.1x","InnovHealth-1","GHSS","3/31/2014","2","1","12,621","2,493","602","19.76","4.77","23.02","27.85","11.15","6.64","34.51","86.02","32","59.76","0.00","7.64"
"HarvardX","BUS5.1x","InnovHealth-2","GHSS","5/5/2015","3","1","9,185","5,824","183","63.46","1.99","3.14","13.23","14.92","8.88","38.52","84.74","30","46.81","6.72","6.28"
"HarvardX","HSPH-HMS214x","HealthTrials","GHSS","10/14/2013","2","1","28,384","5,037","2,407","17.76","8.48","47.79","104.37","20.20","12.02","45.05","86.27","31","60.92","11.07","22.68"
"HarvardX","PH201x","HealthSoc","GHSS","11/15/2013","2","1","20,914","5,647","3,321","27.02","15.89","58.81","99.29","17.80","10.59","52.62","73.95","30","66.94","12.98","43.94"
"HarvardX","PH207x","HealthStat","GHSS","10/15/2012","1","1","52,521","10,729","5,058","20.44","9.64","47.12","804.41","76.10","45.30","43.22","88.33","32","77.45","15.98","32.52"
"HarvardX","HSPH210x","USHealth","GHSS","4/7/2014","2","1","10,225","1,550","763","15.18","7.47","49.23","47.90","26.57","15.81","48.99","82.13","30","58.94","10.05","29.84"
"HarvardX","PH555x","GlobalHealth","GHSS","9/16/2014","3","1","9,010","2,166","1,494","24.07","16.60","68.98","40.60","15.92","9.48","50.13","82.70","31","58.71","22.92","39.80"
"HarvardX","CB22.1x","Heroes-2","HHRDE","9/3/2013","2","1","17,604","1,260","728","7.18","4.15","57.14","65.56","22.10","39.47","47.89","68.75","31","68.77","6.59","14.96"
"HarvardX","CB22x","Heroes-1","HHRDE","3/13/2013","1","1","25,873","1,803","1,395","6.99","5.41","77.09","140.72","46.26","82.60","46.69","71.95","32","77.05","13.76","18.05"
"HarvardX","HUM2.1x","Heroes-a3","HHRDE","9/2/2014","3","1","7,304","1,832","775","25.11","10.62","42.25","17.31","8.99","26.76","50.14","72.97","34","68.70","4.47","18.79"
"HarvardX","HUM2.2x","Heroes-b3","HHRDE","9/14/2014","3","1","2,310","839","510","36.45","22.15","60.79","6.77","4.80","14.28","50.72","69.74","35","47.87","5.00","32.67"
"HarvardX","HUM2.3x","Heroes-c3","HHRDE","10/8/2014","3","1","1,559","697","417","44.85","26.83","59.54","3.20","1.77","5.28","49.65","66.91","34","43.18","2.90","33.72"
"HarvardX","HUM2.4x","Heroes-d3","HHRDE","10/22/2014","3","1","1,615","617","376","38.35","23.37","60.78","3.63","1.42","4.22","49.72","68.89","33","40.89","4.60","31.95"
"HarvardX","SW12.10x","ChinaX-j1","HHRDE","1/5/2015","3","1","5,864","1,242","1,258","21.19","21.46","64.17","48.23","22.52","40.22","35.19","82.54","35","77.05","24.60","41.39"
"HarvardX","SW12.2x","ChinaX-b1","HHRDE","1/2/2014","2","1","12,856","4,374","2,640","34.03","20.54","56.74","68.25","13.77","49.18","39.41","79.35","33","75.90","20.89","43.29"
"HarvardX","SW12.3x","ChinaX-c1","HHRDE","2/13/2014","2","1","7,422","3,221","2,226","43.43","30.01","63.18","33.76","8.99","32.10","41.03","79.40","34","77.16","29.14","50.29"
"HarvardX","SW12.4x","ChinaX-d1","HHRDE","3/20/2014","2","1","6,753","2,552","1,788","37.81","26.49","62.19","34.82","11.42","40.79","39.49","80.78","34","76.01","22.71","45.74"
"HarvardX","SW12.5x","ChinaX-e1","HHRDE","4/24/2014","2","1","5,256","2,649","1,686","50.44","32.10","62.21","24.76","9.09","32.48","35.65","82.04","35","75.32","28.69","48.95"
"HarvardX","SW12.6x","ChinaX-f1","HHRDE","5/22/2014","2","1","5,446","2,244","1,637","41.24","30.09","63.73","31.69","11.70","41.79","39.03","80.56","35","76.75","24.22","49.72"
"HarvardX","SW12.7x","ChinaX-g1","HHRDE","9/4/2014","3","1","4,662","2,148","1,505","46.10","32.30","61.45","22.93","8.68","20.68","36.13","82.25","38","80.08","33.98","52.26"
"HarvardX","SW12.8x","ChinaX-h1","HHRDE","10/9/2014","3","1","4,515","2,081","1,528","46.13","33.87","62.85","23.92","9.54","34.08","35.67","82.68","37","78.36","31.46","51.05"
"HarvardX","SW12.9x","ChinaX-i1","HHRDE","11/20/2014","3","1","4,248","1,835","1,442","43.24","33.98","65.12","23.03","9.76","34.87","32.89","82.98","37","79.76","30.14","50.49"
"HarvardX","SW12.1x","ChinaX-a1","HHRDE","10/31/2013","2","1","47,384","8,234","3,692","17.39","7.80","44.26","145.08","13.89","33.07","40.78","74.91","29","78.70","12.61","32.62"
"HarvardX","AI12.1x","Poetry-a1","HHRDE","10/31/2013","2","0","6,446","2,873","0","44.74","0.00","0.00","13.89","0.00","","59.19","69.50","32","69.68","15.91","0.00"
"HarvardX","AmPoX.1","Poetry-a2","HHRDE","9/10/2014","3","1","2,820","1,306","153","46.41","5.44","11.72","7.68","13.08","46.72","56.20","68.15","32","70.15","19.12","22.35"
"HarvardX","AmPoX.2","Poetry-b2","HHRDE","10/22/2014","3","1","1,911","661","149","34.70","7.82","22.54","6.58","13.19","47.12","59.38","75.54","37","67.98","15.12","22.26"
"HarvardX","AmPoX.3","Poetry-c2","HHRDE","1/7/2015","3","1","3,879","1,045","220","26.98","5.68","21.05","9.20","12.34","44.06","55.37","71.38","33","73.53","14.46","16.45"
"HarvardX","AmPoX.4","Poetry-d2","HHRDE","3/18/2015","3","1","5,261","1,823","348","34.70","6.62","19.09","20.14","19.02","67.94","66.74","75.48","38","74.63","17.70","26.11"
"HarvardX","AmPoX.5","Poetry-e2","HHRDE","5/6/2015","3","1","2,479","1,076","196","43.51","7.93","18.22","7.49","14.80","52.86","58.75","73.39","39","65.91","15.89","24.67"
"HarvardX","HKS211.1x","NatSecurity-1","GHSS","10/1/2013","2","0","5,857","1,393","0","23.86","0.00","0.00","12.57","0.00","","33.51","73.10","30","63.10","9.66","35.89"
"HarvardX","HKS211.2x","NatSecurity-2","GHSS","2/12/2015","3","1","6,454","2,042","813","31.65","12.60","39.76","20.36","11.86","7.06","30.91","73.65","30","64.29","7.39","25.57"
"HarvardX","ER22.1x","Justice-2","HHRDE","4/8/2014","2","1","35,409","4,767","2,485","13.47","7.02","45.69","145.01","20.13","11.98","42.00","67.17","29","67.31","19.05","17.85"
"HarvardX","ER22x","Justice-1","HHRDE","3/2/2013","1","1","58,779","9,425","5,438","16.05","9.26","51.07","186.61","13.67","8.14","39.58","69.78","30","---","21.86","20.98"
"HarvardX","SW47.1x","EmergHealth","GHSS","10/30/2014","3","1","10,332","969","598","9.39","5.79","61.71","17.21","10.41","12.39","36.96","78.58","28","43.82","13.03","18.15"
"HarvardX","1368.1x","EdPol-a1","HHRDE","9/8/2014","3","1","3,853","969","391","25.16","10.15","40.35","9.36","10.20","24.28","55.93","81.88","32","67.67","16.02","31.50"
"HarvardX","1368.2x","EdPol-b1","HHRDE","10/27/2014","3","1","1,275","516","304","40.50","23.86","58.72","3.28","5.93","14.13","52.70","85.23","35","59.65","21.43","42.23"
"HarvardX","1368.3x","EdPol-c1","HHRDE","1/5/2015","3","1","1,483","641","400","43.25","26.99","62.25","3.40","4.67","11.12","53.44","80.97","34","64.51","12.75","49.73"
"HarvardX","1368.4x","EdPol-d1","HHRDE","2/9/2015","3","1","1,465","578","380","39.48","25.96","64.71","3.16","4.86","11.58","51.50","81.63","35","62.91","19.06","45.22"
"HarvardX","PH525.2x","Genomics-b2","GHSS","2/16/2015","3","1","12,007","9,446","1,404","78.70","11.70","14.86","27.90","9.97","47.46","19.52","83.51","30","58.98","1.57","24.14"
"HarvardX","PH525.3x","Genomics-c2","GHSS","3/2/2015","3","1","9,266","3,389","638","36.60","6.89","18.83","37.84","31.97","152.22","28.04","90.17","31","49.18","4.52","16.97"
"HarvardX","PH525.4x","Genomics-d2","GHSS","3/30/2015","3","1","4,785","2,174","453","45.49","9.48","20.84","29.02","34.43","163.95","28.02","86.92","30","58.67","4.60","21.55"
"HarvardX","PH525.5x","Genomics-e2","GHSS","4/27/2015","3","1","4,262","3,518","377","82.60","8.85","10.72","12.86","12.15","57.87","34.89","90.87","30","60.48","2.04","24.04"
"HarvardX","PH525.6x","Genomics-f2","GHSS","4/27/2015","3","1","2,428","1,864","209","77.02","8.64","11.21","8.35","15.58","74.20","35.80","87.88","30","59.01","3.51","18.64"
"HarvardX","PH525.7x","Genomics-g2","GHSS","4/27/2015","3","1","2,250","1,884","252","83.96","11.23","13.38","3.60","4.14","19.71","31.41","89.94","30","52.54","2.14","24.91"
"HarvardX","PH525.8x","Genomics-h2","GHSS","4/27/2015","3","1","2,656","2,066","226","77.90","8.52","10.94","5.33","11.09","52.81","34.66","83.74","29","48.94","2.34","18.40"
"HarvardX","PH525.1x","Genomics-a2","GHSS","1/19/2015","3","1","28,425","13,849","2,685","48.73","9.45","19.39","107.06","16.84","80.21","30.10","86.74","30","68.01","3.01","27.30"
"HarvardX","AmPoX.6","Poetry-f2","HHRDE","4/8/2016","4","0","3,049","759","45","24.89","1.48","5.93","24.48","59.94","214.09","60.50","75.44","36","72.94","18.60","1.57"
"HarvardX","EMC2x","EinsteinX-2","HHRDE","2/16/2016","4","0","5,571","425","9","7.63","0.16","2.12","20.91","86.81","51.67","31.34","62.59","27","69.22","6.46","13.95"
"HarvardX","ENGSCI137x","Energy","STEM","6/8/2016","4","0","8,017","1,515","339","18.90","4.23","22.38","94.63","94.35","56.16","31.59","74.91","27","70.89","17.28","29.46"
"HarvardX","GSE2x","LeadLearn-2","HHRDE","5/11/2016","4","0","9,743","1,271","202","13.05","2.07","15.89","20.17","14.46","17.21","51.11","78.93","31","70.53","14.60","2.12"
"HarvardX","GSE3x","DataWise-2","HHRDE","4/19/2016","4","0","2,493","803","63","32.21","2.53","7.85","10.31","16.94","20.16","64.69","92.08","37","65.30","29.12","2.61"
"HarvardX","GSE4x","FamilyEd","HHRDE","7/25/2016","4","0","2,871","267","20","9.30","0.70","7.49","4.26","11.33","13.48","74.76","82.31","34","70.11","0.00","0.70"
"HarvardX","HDS3221.1x","ReligLit-a","HHRDE","3/1/2016","4","0","22,153","4,897","282","22.11","1.27","5.76","79.36","26.43","62.92","63.04","78.46","39","77.24","34.35","1.28"
"HarvardX","HDS3221.2x","ReligLit-b","HHRDE","4/5/2016","4","0","10,188","2,810","138","27.58","1.35","4.91","37.58","28.90","68.81","48.96","73.72","37","75.31","20.95","1.41"
"HarvardX","HDS3221.3x","ReligLit-c","HHRDE","5/3/2016","4","0","8,758","1,710","94","19.53","1.07","5.50","25.96","26.27","62.55","49.72","75.56","36","71.61","17.32","1.07"
"HarvardX","HDS3221.4x","ReligLit-d","HHRDE","6/1/2016","4","0","8,695","1,663","127","19.13","1.46","7.64","39.83","35.64","84.87","49.80","74.37","31","71.71","19.92","1.47"
"HarvardX","HDS3221.5x","ReligLit-e","HHRDE","7/5/2016","4","0","4,553","1,051","70","23.08","1.54","6.66","18.76","26.74","63.67","43.03","74.39","31","73.34","16.65","1.54"
"HarvardX","MCB64.1x","CellBio","STEM","5/25/2016","4","0","8,297","1,933","268","23.30","3.23","13.86","39.56","18.06","32.24","46.14","63.20","28","74.58","11.29","3.25"
"HarvardX","MUS24.1x","MusicNights-c","HHRDE","4/28/2016","4","0","1,199","639","43","53.29","3.59","6.73","4.94","8.01","19.07","46.37","78.46","40","78.23","6.42","3.75"
"HarvardX","MUS24.4x","MusicNights-d","HHRDE","7/21/2016","4","0","615","305","20","49.59","3.25","6.56","1.71","5.93","14.11","43.18","74.66","38","80.81","8.78","3.25"
"HarvardX","PH525.6x","Genomics-f3","GHSS","3/15/2016","4","0","1,546","502","19","32.47","1.23","3.78","2.99","23.84","113.52","27.17","84.66","28","35.12","2.39","1.23"
"HarvardX","PH525.7x","Genomics-g3","GHSS","4/15/2016","4","0","1,716","462","12","26.92","0.70","2.60","5.68","34.33","163.48","37.62","84.84","28","48.08","2.68","0.70"
"HarvardX","HLS2x","Contracts-3","GHSS","3/18/2016","4","0","13,260","1,955","587","14.74","4.43","30.03","50.60","23.64","14.07","41.47","73.01","28","64.80","12.55","4.54"
"MITx","4.605x","Architecture-1","HHRDE","9/17/2013","2","1","17,077","2,430","1,486","14.23","8.70","61.15","138.94","48.99","29.16","48.05","74.02","31","65.15","10.72","30.88"
"MITx","MAS.S69x","SocialPhys","GHSS","5/12/2014","2","1","30,456","9,494","4,055","31.17","13.31","36.14","34.79","2.10","","19.61","81.37","30","64.80","4.67","13.31"
"MITx","10.03x","Biologic-1","GHSS","7/14/2015","3","1","4,404","2,012","638","45.69","14.49","31.71","41.50","29.18","69.48","40.47","74.49","28","68.51","17.73","40.80"
"MITx","10.03x","Biologic-2","GHSS","10/27/2015","4","1","2,599","1,172","436","45.09","16.78","37.20","30.39","33.65","80.12","40.47","76.87","28","69.41","16.93","42.17"
"MITx","20.305x","SynBio","STEM","10/5/2015","4","1","11,574","418","106","3.61","0.92","25.12","83.14","181.45","108.01","27.19","66.14","25","54.94","4.18","5.19"
"MITx","9.01x","NeuroVis","STEM","11/18/2014","3","1","7,000","1,398","505","19.97","7.21","35.48","18.49","9.19","5.47","33.89","70.22","29","69.40","8.10","24.70"
"MITx","11.126x","EdGameIntro-1","HHRDE","10/22/2014","3","1","25,569","3,210","1,480","12.55","5.79","29.88","50.33","7.51","8.94","17.99","57.70","26","63.42","0.00","6.31"
"MITx","11.127x","Games-1","HHRDE","4/1/2015","3","1","15,282","3,012","513","19.71","3.36","17.03","36.12","16.89","20.10","27.19","72.15","30","60.42","0.01","16.08"
"MITx","11.132x","EdTech-a1","HHRDE","10/8/2014","3","1","15,942","3,481","1,630","21.84","10.22","35.97","44.73","7.46","8.88","38.67","83.01","33","67.16","0.01","10.31"
"MITx","11.133x","EdTech-b1","HHRDE","7/15/2015","3","1","4,518","1,266","471","28.02","10.42","36.97","11.99","9.52","11.34","39.68","87.64","34","58.50","0.00","22.02"
"MITx","7.00x","Biology-2","STEM","9/10/2013","2","1","24,707","4,104","2,086","16.61","8.44","50.78","331.00","69.36","41.29","43.31","62.45","28","80.54","16.88","31.57"
"MITx","7.00x","Biology-1","STEM","3/5/2013","1","1","28,535","6,109","3,242","21.41","11.36","52.92","476.84","72.80","43.33","42.21","68.15","30","84.62","33.14","38.85"
"MITx","7.00x","Biology-3","STEM","6/17/2014","2","1","15,627","2,357","940","15.08","6.02","39.71","182.26","70.28","41.83","42.10","59.85","28","73.58","14.57","24.62"
"MITx","7.00x","Biology-4","STEM","6/17/2014","3","0","10,755","895","0","8.32","0.00","0.00","59.23","0.00","","41.86","60.92","26","60.52","0.01","0.00"
"MITx","7.28.1x","MolecBio-1","STEM","3/10/2015","3","1","7,723","1,567","430","20.29","5.57","27.44","98.60","94.34","112.31","41.48","70.24","28","69.33","6.32","30.45"
"MITx","7.28.1x","MolecBio-a2","STEM","8/4/2015","4","1","5,725","865","209","15.11","3.65","24.16","43.57","85.86","102.21","44.30","72.99","28","65.17","7.35","37.05"
